registry_id	ligand	receptor	ligand_entity_type	receptor_entity_type	ligand_components	receptor_components	source_methods	source_resources	source_databases	source_record_ids	pathway_labels	interaction_annotations	evidence_notes	cofactor_annotations	species_scope	direct_lr_candidate
LRREG_005886	Pcdha4b	Pcdha4b	gene	gene	Pcdha4b	Pcdha4b	cellchat	CellChatDB.mouse		PCDHA4B_PCDHA4B	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005887	Pcdha5	Itgb1	gene	gene	Pcdha5	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005888	Pcdha5	Pcdha5	gene	gene	Pcdha5	Pcdha5	cellchat	CellChatDB.mouse		PCDHA5_PCDHA5	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005889	Pcdha6	Itgb1	gene	gene	Pcdha6	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005890	Pcdha6	Pcdha6	gene	gene	Pcdha6	Pcdha6	cellchat	CellChatDB.mouse		PCDHA6_PCDHA6	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005891	Pcdha7	Itgb1	gene	gene	Pcdha7	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005892	Pcdha7	Pcdha7	gene	gene	Pcdha7	Pcdha7	cellchat	CellChatDB.mouse		PCDHA7_PCDHA7	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005893	Pcdha8	Itgb1	gene	gene	Pcdha8	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005894	Pcdha8	Pcdha8	gene	gene	Pcdha8	Pcdha8	cellchat	CellChatDB.mouse		PCDHA8_PCDHA8	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005895	Pcdha9	Itgb1	gene	gene	Pcdha9	Itgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005896	Pcdha9	Pcdha9	gene	gene	Pcdha9	Pcdha9	cellchat	CellChatDB.mouse		PCDHA9_PCDHA9	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005897	Pcdha9	Pcdhga1	gene	gene	Pcdha9	Pcdhga1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005898	Pcdha9	Pcdhga10	gene	gene	Pcdha9	Pcdhga10	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005899	Pcdha9	Pcdhga11	gene	gene	Pcdha9	Pcdhga11	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005900	Pcdha9	Pcdhga12	gene	gene	Pcdha9	Pcdhga12	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005901	Pcdha9	Pcdhga2	gene	gene	Pcdha9	Pcdhga2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005902	Pcdha9	Pcdhga3	gene	gene	Pcdha9	Pcdhga3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005903	Pcdha9	Pcdhga4	gene	gene	Pcdha9	Pcdhga4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005904	Pcdha9	Pcdhga5	gene	gene	Pcdha9	Pcdhga5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005905	Pcdha9	Pcdhga6	gene	gene	Pcdha9	Pcdhga6	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005906	Pcdha9	Pcdhga7	gene	gene	Pcdha9	Pcdhga7	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005907	Pcdha9	Pcdhga8	gene	gene	Pcdha9	Pcdhga8	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005908	Pcdha9	Pcdhga9	gene	gene	Pcdha9	Pcdhga9	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005909	Pcdha9	Pcdhgb1	gene	gene	Pcdha9	Pcdhgb1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005910	Pcdha9	Pcdhgb2	gene	gene	Pcdha9	Pcdhgb2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005911	Pcdha9	Pcdhgb4	gene	gene	Pcdha9	Pcdhgb4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005912	Pcdha9	Pcdhgb5	gene	gene	Pcdha9	Pcdhgb5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005913	Pcdha9	Pcdhgb6	gene	gene	Pcdha9	Pcdhgb6	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005914	Pcdha9	Pcdhgb7	gene	gene	Pcdha9	Pcdhgb7	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005915	Pcdha9	Pcdhgb8	gene	gene	Pcdha9	Pcdhgb8	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005916	Pcdha9	Pcdhgc3	gene	gene	Pcdha9	Pcdhgc3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005917	Pcdha9	Pcdhgc4	gene	gene	Pcdha9	Pcdhgc4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005918	Pcdha9	Pcdhgc5	gene	gene	Pcdha9	Pcdhgc5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005919	Pcdhac1	Pcdhac1	gene	gene	Pcdhac1	Pcdhac1	cellchat	CellChatDB.mouse		PCDHAC1_PCDHAC1	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005920	Pcdhac2	Pcdhac2	gene	gene	Pcdhac2	Pcdhac2	cellchat	CellChatDB.mouse		PCDHAC2_PCDHAC2	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005921	Pcdhb1	Pcdhb1	gene	gene	Pcdhb1	Pcdhb1	cellchat	CellChatDB.mouse		PCDHB1_PCDHB1	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005922	Pcdhb10	Pcdhb10	gene	gene	Pcdhb10	Pcdhb10	cellchat	CellChatDB.mouse		PCDHB10_PCDHB10	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005923	Pcdhb10	Pcdhb11	gene	gene	Pcdhb10	Pcdhb11	cellchat	CellChatDB.mouse		PCDHB10_PCDHB11	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005924	Pcdhb10	Pcdhb6	gene	gene	Pcdhb10	Pcdhb6	cellchat	CellChatDB.mouse		PCDHB10_PCDHB6	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005925	Pcdhb10	Pcdhb8	gene	gene	Pcdhb10	Pcdhb8	cellchat	CellChatDB.mouse		PCDHB10_PCDHB8	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005926	Pcdhb11	Pcdhb11	gene	gene	Pcdhb11	Pcdhb11	cellchat	CellChatDB.mouse		PCDHB11_PCDHB11	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005927	Pcdhb11	Pcdhb6	gene	gene	Pcdhb11	Pcdhb6	cellchat	CellChatDB.mouse		PCDHB11_PCDHB6	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005928	Pcdhb11	Pcdhb8	gene	gene	Pcdhb11	Pcdhb8	cellchat	CellChatDB.mouse		PCDHB11_PCDHB8	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005929	Pcdhb12	Pcdhb10	gene	gene	Pcdhb12	Pcdhb10	cellchat	CellChatDB.mouse		PCDHB12_PCDHB10	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005930	Pcdhb12	Pcdhb11	gene	gene	Pcdhb12	Pcdhb11	cellchat	CellChatDB.mouse		PCDHB12_PCDHB11	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005931	Pcdhb12	Pcdhb12	gene	gene	Pcdhb12	Pcdhb12	cellchat	CellChatDB.mouse		PCDHB12_PCDHB12	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005932	Pcdhb12	Pcdhb6	gene	gene	Pcdhb12	Pcdhb6	cellchat	CellChatDB.mouse		PCDHB12_PCDHB6	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005933	Pcdhb12	Pcdhb8	gene	gene	Pcdhb12	Pcdhb8	cellchat	CellChatDB.mouse		PCDHB12_PCDHB8	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005934	Pcdhb13	Pcdhb13	gene	gene	Pcdhb13	Pcdhb13	cellchat	CellChatDB.mouse		PCDHB13_PCDHB13	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005935	Pcdhb15	Pcdhb15	gene	gene	Pcdhb15	Pcdhb15	cellchat	CellChatDB.mouse		PCDHB15_PCDHB15	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005936	Pcdhb16	Pcdhb16	gene	gene	Pcdhb16	Pcdhb16	cellchat	CellChatDB.mouse		PCDHB16_PCDHB16	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005937	Pcdhb17	Pcdhb17	gene	gene	Pcdhb17	Pcdhb17	cellchat	CellChatDB.mouse		PCDHB17_PCDHB17	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005938	Pcdhb18	Pcdhb18	gene	gene	Pcdhb18	Pcdhb18	cellchat	CellChatDB.mouse		PCDHB18_PCDHB18	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005939	Pcdhb19	Pcdhb19	gene	gene	Pcdhb19	Pcdhb19	cellchat	CellChatDB.mouse		PCDHB19_PCDHB19	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005940	Pcdhb19	Pcdhb21	gene	gene	Pcdhb19	Pcdhb21	cellchat	CellChatDB.mouse		PCDHB19_PCDHB21	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
LRREG_005941	Pcdhb2	Pcdhb2	gene	gene	Pcdhb2	Pcdhb2	cellchat	CellChatDB.mouse		PCDHB2_PCDHB2	PCDH	Cell-Cell Contact	PMID: 35253643; PMID: 32694982		mouse	true
