tf_key	display_symbols	species_scopes	source_registries	reported_contributor_labels	human_current_sets	mouse_current_sets	vertebrate_profile_current_sets	human_status	mouse_status	vertebrate_profile_status	current_entity_ids	species_scope_count	current_any_species	new_species_scopes	dedupe_status	notes
yy1	YY1;Yy1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;CytReg_CollecTRI;CytReg_CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ENCODE-distal;ENCODE-proximal;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;JASPAR_DoRothEA;NFIRegulomeDB_DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;ORegAnno;ORegAnno_DoRothEA;PAZAR;PAZAR_DoRothEA;Pavlidis2021_CollecTRI;Pavlidis_CollecTRI2;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	canonical_tf_edge;canonical_tf_role;module_22B_regulon	canonical_tf_edge;canonical_tf_role;module_22B_regulon	canonical_tf_edge;canonical_tf_role;module_22B_regulon	existing_public_pair_union	existing_public_pair_union	canonical_name_or_species_scope_match	16904	3	true		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
yy2	YY2;Yy2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate	new_candidate	new_candidate		3	false	human;mouse;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
za	ZA	human	TFLink					new_candidate				1	false	human	new_candidate	
zbed1	ZBED1	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate		new_candidate		2	false	human;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbed2	ZBED2	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs					new_candidate		new_candidate		2	false	human;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbed3	ZBED3	human	AnimalTFDB3;Lambert_HumanTFs					new_candidate				1	false	human	new_candidate	
zbed4	ZBED4;Zbed4	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate	new_candidate	new_candidate		3	false	human;mouse;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbed5	ZBED5	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate		new_candidate		2	false	human;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbed6	ZBED6;Zbed6	human;mouse	AnimalTFDB3;Lambert_HumanTFs					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
zbed9	ZBED9	human	Lambert_HumanTFs					new_candidate				1	false	human	new_candidate	
zbtb1	ZBTB1;Zbtb1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
zbtb10	ZBTB10;Zbtb10	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink					new_candidate	new_candidate			2	false	human;mouse	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.
zbtb11	ZBTB11;Zbtb11	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate	new_candidate	new_candidate		3	false	human;mouse;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbtb12	ZBTB12;Zbtb12	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate	new_candidate	new_candidate		3	false	human;mouse;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbtb14	ZBTB14;Zbtb14	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink;TRRUST	TRRUST				existing_public_pair_union	new_candidate	new_candidate		3	false	mouse;vertebrates	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zbtb16	ZBTB16;Zbtb16	human;mouse	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;NTNUcuration_CollecTRI2;PAZAR;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2				existing_public_pair_union	existing_public_pair_union			2	false		existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.
zbtb17	ZBTB17;Zbtb17	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;KEGG-MEDICUS;NTNUcuration_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA				existing_public_pair_union	existing_public_pair_union	new_candidate		3	false	vertebrates	existing_or_canonical	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
